Character,Count
እን,93271
የሚ,87682
የተ,80939
ቸው,78480
ዎች,74229
፡፡,71312
ቶች,54518
ሆኑ,54498
መሆ,52918
እና,50904
በመ,48123
ውን,47487
በተ,46551
ነት,44970
በት,41547
ረት,40688
ከተ,38304
መን,37955
ችን,36395
የመ,36001
ሚያ,35524
ንዲ,35497
ብር,33876
ሪያ,33673
ተመ,32159
ንግ,31349
ስተ,31322
ስት,30838
ረጃ,29641
ል፡,29067
ትና,28388
ማስ,27931
ንዱ,27193
ሥራ,27052
ገባ,27039
ለመ,26359
ላይ,26015
ርት,25821
የማ,25757
ደረ,25417
ረግ,25170
ሌ፡,25134
ትን,24928
አስ,24545
ዯረ,24365
ሊይ,23919
ነው,23674
ንደ,23661
ተሰ,23513
እግ,23318
መስ,23192
በማ,23066
ሆን,22657
ግባ,22495
ስራ,22448
መሰ,22447
አገ,22431
ተገ,22373
በአ,22206
ሇመ,22157
ንስ,21994
ቤት,21887
ግዚ,21865
አን,21744
ወቅ,21209
ው፡,21180
ውስ,20867
ም፡,20766
ገቢ,20426
ብረ,20404
መረ,20373
የአ,20238
ረጋ,19823
ስጥ,19704
ግብ,19684
ጥር,19516
ጀት,19201
ጊዜ,19184
ን፡,19151
ግን,18978
ሳብ,18946
ያስ,18752
ሂሳ,18748
ተከ,18677
ኦዱ,18658
ለው,18580
መለ,18430
ባለ,18392
ት፡,18180
መመ,17992
ለማ,17885
ሆነ,17864
ማት,17661
ተጠ,17635
ምር,17612
ቁጥ,17517
ሚገ,17502
ድር,17380
ወደ,17360
ኑን,17217
ባሇ,17193
አካ,17009
መጠ,16952
ቤቶ,16937
ትዮ,16918
ይገ,16891
በሚ,16808
ራት,16799
ቤቱ,16779
ክት,16755
ብሔ,16606
ሰረ,16474
ንብ,16452
ጵያ,16387
ተኛ,16313
ዓመ,16300
ሰራ,16299
ግል,16269
ኢት,16240
ዮጵ,16235
አብ,15953
ሚኒ,15839
ንም,15815
ራዊ,15805
ትም,15679
ንና,15646
ኒስ,15619
ምን,15574
ክፍ,15547
ርጅ,15519
መሪ,15291
ሰብ,15268
ዚህ,15086
መሇ,15050
ገሌ,14932
ገል,14926
ስቴ,14900
በጀ,14872
የእ,14621
ሳይ,14470
ደር,14390
ጋር,14345
ወይ,14150
ቴር,14076
ሇማ,14069
ለት,14051
ጠና,13832
ገን,13826
ጋገ,13772
መል,13700
የግ,13681
የት,13571
ዓት,13534
ንድ,13512
ባቸ,13509
ስለ,13492
እር,13398
ርዓ,13353
ገር,13197
ፖር,13163
ዴር,12954
ያው,12919
ተግ,12854
ታቸ,12834
ቀረ,12830
ሔር,12812
ዱት,12810
ዘጋ,12728
ሁም,12655
ቀር,12588
ይም,12554
ረገ,12468
በሰ,12393
ለከ,12253
ዚአ,12235
ተቀ,12073
ማሪ,12051
ዯር,12004
ይህ,11859
