Character,Count
የ,569324
በ,414816
መ,259743
እ,238565
አ,208080
ከ,121484
ተ,117446
ወ,85590
ማ,78348
ይ,72597
ያ,72231
ለ,71432
ስ,66667
ሇ,54266
ግ,48456
ው,42183
ም,42005
ክ,41459
ባ,41416
ብ,40596
ሊ,38199
ዓ,32681
ገ,31036
ሥ,30409
ነ,30115
ሰ,29275
ጥ,28866
ሲ,28443
ላ,24610
ት,23026
ደ,21882
ዘ,21554
ድ,21491
ቀ,20286
ኢ,20021
ሂ,19984
ቅ,19489
ሚ,19456
ቁ,18835
ጋ,17159
ኦ,16866
ል,16854
ን,16787
ሁ,15992
ቢ,15881
ቤ,15736
ጊ,15559
ጉ,15494
ዕ,15492
ሉ,15425
ፍ,14625
ዴ,13859
ዋ,13809
ኮ,13802
ታ,13794
ሳ,13794
ካ,13257
ኃ,13067
ዯ,13030
ሆ,12077
ፈ,11698
ኤ,11544
ሪ,11513
ሌ,10439
ሀ,10228
ህ,9317
ዩ,9021
ዝ,9017
ፕ,8729
ች,8420
ጠ,8286
ሕ,7807
ጽ,7784
ቦ,6766
ኪ,6577
ሠ,6240
ሃ,6153
ቃ,6144
ዳ,5731
ኹ,5185
ና,4938
ዲ,4864
ቆ,4851
ቴ,4680
ሙ,4656
፣,4103
ኾ,3689
ጀ,3645
ኟ,3636
ፊ,3587
ጨ,3493
ፋ,3259
ራ,3097
ሽ,3053
ፌ,3040
ቡ,2983
ረ,2868
ር,2721
ጭ,2714
ጸ,2704
ሴ,2659
ቋ,2524
ጤ,2521
ዙ,2490
ዱ,2462
ጣ,2302
ፖ,2292
ሞ,2271
ጌ,2226
ዜ,2196
ዐ,1943
ሜ,1887
ሶ,1742
ዛ,1715
፲,1689
ኬ,1687
ጎ,1660
ሓ,1583
ኘ,1525
፡,1520
ቍ,1463
ፇ,1395
ፀ,1364
ኩ,1341
፳,1330
ሐ,1322
ዮ,1295
ዉ,1260
ኣ,1239
፩,1219
፤,1216
ሦ,1173
ጅ,1166
ፓ,1158
ቱ,1142
ቒ,1086
ፎ,1047
ሣ,1027
ሺ,933
ቕ,919
ዞ,915
዗,903
ፅ,865
ጾ,843
ዶ,827
ሸ,826
ፔ,799
ቶ,797
ሄ,792
ኖ,777
ጫ,765
ሱ,759
ጳ,737
ኅ,712
ኈ,627
቎,620
፪,608
ጕ,593
ኵ,570
ሔ,567
ሿ,567
ሏ,566
ፒ,562
ኑ,560
ጴ,548
ኀ,529
ጂ,519
ቸ,504
ቬ,491
ጦ,489
ሬ,488
ሩ,479
፫,472
ጻ,470
ቻ,462
኶,453
ኋ,443
ቧ,438
ዏ,432
ኳ,414
ኔ,410
ሻ,408
ዒ,408
ሒ,407
፥,391
።,391
ቼ,390
ሎ,386
ሹ,373
፴,362
ዌ,359
ቫ,353
ጐ,347
ጆ,320
ቲ,317
ጢ,316
ቪ,311
ቚ,309
ቘ,308
፭,293
፯,292
ዔ,291
ጡ,287
፬,285
ሮ,268
ጼ,263
ቄ,259
ጓ,256
፮,244
቉,237
ፆ,237
ሗ,233
ጃ,232
ጄ,232
ኯ,229
ቔ,212
ጮ,210
ፉ,203
ቈ,194
ሾ,173
፰,171
ዬ,164
ቩ,160
቏,155
፱,153
ዎ,153
ዂ,152
ኼ,148
ዚ,146
ቇ,144
ጲ,142
ቨ,142
ቌ,135
፵,134
ቓ,129
ኒ,127
ሑ,127
ኧ,125
ፐ,125
ሼ,117
ጏ,114
ኺ,111
ዊ,107
ጩ,107
ዑ,106
ቂ,102
ቊ,101
ኰ,90
዇,85
ጁ,84
ዖ,80
ዧ,79
ዺ,78
ሧ,75
ዄ,74
ኸ,74
ሟ,71
ኂ,70
ኴ,68
ኡ,67
ኲ,65
ሢ,63
ዀ,63
ኊ,62
ኁ,61
቟,55
ቾ,53
኱,49
ኄ,47
ቿ,46
ቷ,45
ቺ,45
ኗ,42
፶,41
፷,37
ቮ,36
፻,35
ኽ,35
፹,35
ፃ,34
፸,33
ቑ,33
ዪ,32
ቜ,32
ጧ,32
ኛ,31
ፑ,29
ጇ,27
ኻ,25
ጪ,24
፦,23
ቖ,23
ዾ,23
኷,22
ዣ,22
቗,22
ጺ,22
፺,21
ኍ,20
዆,19
ፏ,19
ኆ,18
ጵ,18
ጒ,17
቙,17
ዅ,16
ቛ,14
ፁ,14
኏,14
ዷ,13
ቐ,12
኿,12
ዼ,11
ሤ,11
ዢ,11
ኝ,10
ሖ,9
ጿ,9
ጹ,8
ኙ,6
዁,6
ዻ,6
ሷ,6
ዟ,6
ቭ,5
ዥ,4
ዸ,4
ፂ,4
ሡ,4
ኇ,3
኎,3
ጰ,3
ቹ,3
ሯ,3
ጷ,3
ዠ,3
፼,2
ቯ,2
ዦ,2
ጯ,2
ዽ,2
ፄ,1
ኌ,1
ዿ,1
ኞ,1
኉,1
ጱ,1
ጶ,1
ዹ,1
ቝ,1
