Character,Count
ት,467777
ን,273331
ና,247121
፡,212763
ው,208305
ር,190347
ች,156041
ም,138486
፣,88674
ያ,82511
ይ,75082
፤,69485
ብ,65238
ል,64701
ቱ,63441
።,59351
ስ,56831
ሌ,51317
ራ,51164
፥,50495
ድ,46679
ጥ,44352
ኑ,39017
ዊ,35770
ታ,35326
ግ,35041
ደ,26849
ጃ,26219
ዴ,25418
ሩ,24685
ኛ,22716
ክ,22566
ፍ,22196
ለ,21981
ሪ,21967
ነ,21573
ቢ,21358
ህ,21340
ቅ,19531
ተ,18740
ቶ,17302
ቡ,17017
ዩ,16871
ማ,16356
ሉ,16187
ጅ,15719
ዜ,14665
ባ,12590
ቹ,12537
ጪ,12485
ጭ,12364
ሮ,11777
ሚ,11714
ጡ,11060
ሱ,10898
ጋ,10834
ሻ,10652
ላ,10373
ኝ,9931
ዝ,9927
ጉ,9880
ጫ,9787
ሽ,9786
ጽ,9465
ሙ,9077
ቻ,8889
ቲ,8811
ጂ,8696
ዱ,8497
ኔ,8454
ኖ,8325
ቃ,8180
ከ,8083
ረ,7958
ሇ,7739
ኙ,7543
በ,7508
ገ,7411
መ,7065
ሁ,6921
ቁ,6895
ኩ,6738
ዥ,6621
ሊ,6363
ዯ,6333
ሳ,6244
ሞ,6237
ቤ,5805
ሲ,5195
ዳ,5155
ካ,5056
ጠ,4990
ፉ,4940
እ,4862
የ,4851
ጣ,4769
ፌ,4680
ዙ,4677
ሬ,4664
ፅ,4356
ቂ,4321
ቀ,4293
ሎ,4184
ዋ,3876
ጁ,3864
ሃ,3511
ፈ,3490
ፊ,3466
ቦ,3444
ሰ,3418
ዲ,3371
ዉ,3273
ጎ,3176
ዘ,3171
ሴ,3054
ቄ,2970
ሜ,2968
ፋ,2847
ዛ,2747
ሶ,2651
ጊ,2558
ቆ,2502
፦,2483
ጀ,2437
ፃ,2369
ቴ,2157
ዶ,2130
ፎ,1976
ዎ,1964
ኘ,1910
ዬ,1814
ኤ,1737
ጻ,1709
ኮ,1610
ዞ,1565
ሀ,1521
አ,1471
ጦ,1383
ሕ,1351
ጄ,1341
ቷ,1321
ሥ,1290
ዢ,1275
ሣ,1232
ሹ,1197
ፒ,1166
ዣ,1042
ጌ,1023
ጩ,1018
ዮ,974
ኦ,944
ወ,929
ጮ,894
ሄ,872
ቓ,847
ኳ,786
ቼ,766
፩,703
ቺ,691
ቋ,691
ኪ,669
ጹ,660
ኒ,642
ፕ,631
ሓ,622
ዕ,587
ጸ,560
ቚ,558
ቬ,526
ሷ,512
ፀ,507
ፇ,496
ዔ,462
ኢ,457
ሔ,454
ሺ,454
ፁ,438
ጆ,431
ጇ,430
ሆ,427
፮,425
዇,411
ኚ,394
ቸ,366
ጤ,363
ኲ,363
ኬ,352
፪,325
ኾ,314
፰,314
፭,312
ሸ,303
፱,298
፯,286
ኗ,285
ሐ,276
ዐ,276
፫,274
ጐ,263
፬,261
ሠ,258
ኃ,255
ጾ,244
ቨ,231
ቐ,225
ቿ,225
ጨ,223
዗,220
ዌ,215
ኧ,214
ዓ,211
ሏ,190
ዚ,189
ቪ,186
ቭ,170
ዖ,159
ቧ,154
ቇ,144
ፑ,144
ኅ,138
ሂ,133
ፆ,132
፲,130
፴,121
ዷ,121
ቌ,120
ዡ,120
ጼ,119
ኡ,117
ኴ,114
ሦ,113
ኹ,113
ኼ,108
ኜ,108
ዑ,106
ሡ,106
ኰ,95
ኁ,95
ቕ,93
ፓ,87
ሾ,86
ኣ,86
ጏ,81
ኽ,79
ዒ,79
ቖ,78
ጳ,78
ሯ,78
ኵ,76
ዄ,73
ጢ,70
፻,69
ቑ,68
ሗ,67
቉,65
ሟ,60
ቊ,60
ፄ,59
ኞ,58
ኀ,55
ፔ,55
ፖ,55
ቫ,54
ሑ,54
ዏ,53
ኸ,53
ጶ,51
ዪ,49
ቝ,48
ሼ,46
ቾ,46
፳,44
ዺ,43
ጬ,43
ቜ,41
ቘ,41
጑,40
቟,39
቙,37
፵,34
቞,33
ቒ,32
ኟ,32
ዤ,28
፹,27
ቍ,27
ቔ,25
ዀ,25
ኯ,24
ቈ,22
ሿ,22
ጺ,21
቗,21
ዠ,21
ሖ,20
ቛ,19
ጵ,19
ጕ,18
ኻ,18
ዧ,17
ሒ,15
ፏ,14
ቩ,14
፧,14
ኂ,14
ሤ,14
ዻ,13
ጧ,12
ጲ,12
ቮ,11
ዾ,11
ጓ,10
኏,10
ጴ,10
኎,9
ኄ,9
቎,8
፷,8
ዹ,8
ዟ,8
ሢ,7
ዸ,7
ዿ,7
ኍ,7
፸,7
኱,6
ኺ,6
ጿ,6
፶,5
ዼ,5
፼,4
኷,4
዁,4
ኋ,4
ኆ,4
ፂ,3
቏,3
ዅ,3
ኈ,3
ዃ,3
ሧ,3
ዂ,3
ፐ,2
዆,2
ኇ,2
ጒ,2
፺,2
ቯ,1
ጔ,1
ዽ,1
኶,1
኉,1
ኊ,1
