Character,Count
ን,738643
ት,680710
የ,638802
በ,566363
መ,556450
ር,455960
ው,436064
ተ,427311
ስ,387069
ና,347901
ያ,331325
ም,321078
እ,301741
፡,294046
አ,287540
ይ,273357
ች,271122
ግ,269841
ገ,265020
ከ,258721
ረ,251049
ማ,245490
ል,244525
ለ,244172
ብ,235641
ራ,199981
ወ,184485
ሚ,183635
ነ,178883
ሰ,176906
ባ,175249
ሌ,173387
ክ,172915
ደ,162710
ሇ,158243
ታ,152003
ድ,143785
ጥ,141906
ቀ,127811
ጠ,123509
ቅ,119492
ላ,114576
ሆ,111373
ጋ,107433
ሪ,104238
ሊ,101877
ሳ,97296
ዲ,94231
፣,93162
ካ,92423
ህ,91185
ዎ,90843
ቱ,89757
ቶ,89487
ዯ,89045
ቸ,86404
ፍ,86247
ዴ,85208
ፈ,84867
ዘ,83327
ኑ,80913
ዳ,72976
፤,72431
ዱ,72251
ዋ,72123
ቤ,69886
ሥ,68811
ጣ,65204
ዓ,62846
።,62249
ቢ,60192
ሁ,60088
ቃ,58869
ጀ,56649
ዝ,53558
ሉ,53492
ሲ,52326
ዚ,51358
፥,50719
ኖ,49753
ጅ,49646
ዊ,49568
ሮ,47626
ሩ,43859
ጉ,43726
ኢ,41463
ጃ,41383
ኛ,40640
ዕ,40353
ዩ,38894
ኒ,38708
ሽ,38630
ጽ,36475
ቁ,36470
ኦ,35697
ሻ,35285
ቡ,34553
ሙ,34005
ዮ,32736
ኮ,31996
ቴ,31620
ሎ,31011
ፋ,30678
ቋ,30080
ጊ,29601
ፊ,29035
ሂ,28688
ዜ,28625
ቻ,28159
ሬ,27121
ኤ,26994
ፌ,26732
ዛ,26382
ሠ,26227
ቦ,25896
ኔ,25835
ቲ,24211
ኝ,23878
ሱ,23831
ቆ,23370
ጸ,23134
ጡ,23024
ሕ,22752
ጨ,21878
ሀ,21742
ሞ,21549
ጭ,21054
ኩ,20230
ፖ,20087
ጫ,19407
ኃ,19114
ሔ,18352
ሃ,17985
ኾ,17769
ፕ,17736
ቹ,16780
ጵ,16778
ፀ,16613
ፇ,16578
ጪ,15829
ሣ,14733
ኪ,14633
ጂ,14557
ኘ,14344
ጎ,14339
ሜ,14031
ጻ,13737
ቨ,13570
ቂ,13199
ፃ,13006
ጤ,12749
ፉ,12498
ዙ,12213
ኙ,11855
ሴ,11287
ኞ,10971
ዥ,10742
ሸ,10437
ፅ,10394
ጆ,9328
ዶ,9060
ሶ,8988
ኹ,8617
ዉ,8552
ሄ,7815
ፎ,7413
ቷ,7039
ኬ,6729
዗,6521
ሓ,6495
ጁ,6482
ጌ,6347
ጓ,6279
ሟ,6179
ፒ,5939
ኳ,5899
ዞ,5798
ቄ,5602
ዐ,5421
ኋ,5154
ሐ,4687
ሏ,4537
ኟ,4434
ጦ,4268
ኅ,4096
ቪ,3886
ኣ,3860
ኸ,3842
ቬ,3772
ጮ,3737
ዬ,3660
ጢ,3379
ጄ,3156
ጹ,3140
፲,3028
ቓ,3013
ቧ,2964
ፓ,2860
ፔ,2843
ቼ,2627
ቍ,2578
፦,2521
ጾ,2450
ቚ,2441
ሹ,2414
፩,2356
ኵ,2305
፳,2219
ቕ,2215
ሦ,2192
ጐ,2105
ዢ,2091
ዑ,2060
ሺ,1988
ሷ,1912
ዖ,1912
ቒ,1848
ዔ,1826
፪,1758
ኗ,1695
ቇ,1657
ጩ,1590
ቌ,1589
ጧ,1504
ዣ,1466
ኀ,1463
ዌ,1453
ኼ,1439
ፁ,1413
፫,1376
዇,1369
ሗ,1332
ጕ,1299
ኲ,1275
፭,1265
፬,1259
ዏ,1237
፮,1195
ሯ,1187
ጳ,1185
ሑ,1185
ሾ,1165
ቺ,1163
቉,1151
፯,1126
቎,1106
ጇ,1080
ቾ,1071
ሿ,1067
ዒ,1057
ቘ,1052
፱,1051
፰,991
ቫ,975
ኴ,935
ፐ,932
ፑ,901
፻,893
ኰ,888
ቜ,875
ኯ,875
ኈ,873
ጴ,870
፴,861
ኧ,823
ቿ,794
ጼ,751
ቖ,745
ፆ,745
ዪ,743
ጿ,722
ዟ,717
኶,715
ኁ,712
ሒ,675
ቊ,640
ቐ,621
ሢ,612
቗,609
ዧ,596
ኚ,592
ዷ,592
቟,591
ቔ,531
ቈ,508
ጏ,502
ኡ,501
ኻ,466
ጲ,464
፵,425
ኽ,402
ዺ,399
ኺ,396
ዀ,388
ቭ,385
ቑ,382
቏,367
ዂ,363
ቩ,362
ፏ,305
ኌ,291
ሤ,289
ዄ,287
ሡ,268
ሼ,265
ቮ,248
ዠ,235
቙,210
፶,199
቞,192
ዡ,189
ቝ,187
፷,185
ኜ,179
ዾ,167
ኂ,161
ቛ,160
ዦ,157
኿,146
ኄ,141
ኊ,137
኷,129
ሖ,125
ሧ,122
ዸ,121
፹,119
ዅ,117
ጶ,116
ጺ,105
፺,102
኏,102
጑,93
ጬ,87
፸,86
ኍ,84
ፄ,83
኱,82
ዼ,81
ጰ,70
ዽ,64
ኆ,61
ዹ,60
ዤ,59
ጒ,53
ዿ,48
኎,44
዁,37
዆,31
ጯ,28
ዻ,28
ፂ,23
ጱ,19
ዃ,17
፧,16
፼,10
ኇ,9
ጔ,9
኉,8
ጷ,4
ቯ,3
