Character,Count
ን,211523
መ,171288
ተ,147704
ር,129813
ሚ,124359
ስ,113693
ማ,95597
ይ,93176
ገ,82967
ግ,78444
ና,74411
ለ,68440
ሆ,66992
ብ,59655
ም,57804
ሰ,53831
ል,52029
አ,51903
ው,51116
ራ,49058
ቅ,47084
ረ,46983
ሇ,44783
ደ,43992
ክ,43121
ሌ,41814
ት,38771
ህ,37003
ያ,36295
ጥ,35939
ጠ,35871
ላ,35004
ሳ,34972
እ,34627
ወ,34618
ነ,33552
ቀ,31475
ፍ,29644
ዯ,28926
በ,28005
ድ,25541
ሊ,25417
ከ,25324
የ,24461
ታ,24095
ካ,23863
ባ,22186
ጋ,22125
ኒ,21722
ዴ,20027
ቃ,19519
ዳ,19001
ጀ,18784
ሥ,18673
ኖ,18338
ዋ,17694
ዚ,17292
ዲ,17213
ዘ,16869
ዱ,16852
ዜ,16705
ኢ,16421
ፈ,16409
ኦ,15659
ፌ,14596
ኔ,14512
ቢ,13903
ሮ,13776
ሉ,13292
ሠ,13052
ዕ,12889
ቋ,12820
ፋ,10676
ዝ,10071
ፖ,9670
ጪ,9291
ሪ,9216
ኾ,9153
ጤ,9142
ች,9009
ኮ,8978
ቶ,8960
ሁ,8633
ጽ,8494
ቆ,8349
ዛ,8232
ጣ,8207
ሕ,7716
ሂ,7681
ቻ,7308
ዓ,7197
ሣ,6965
ኩ,6592
ሀ,6507
ሬ,6498
ፊ,6360
ሽ,6202
ፕ,6034
ሎ,5960
ዩ,5875
ሙ,5871
ጅ,5843
ጨ,5527
ኤ,5522
ዥ,5119
ሻ,5089
ጉ,5085
ሸ,4803
ኝ,4486
ጭ,4194
ቱ,4087
ቤ,4059
ሞ,4006
ሴ,3796
ፇ,3788
ቴ,3753
ቁ,3714
ጆ,3593
ቂ,3543
ጎ,3539
ኋ,3451
ሲ,3415
ኪ,3393
ሃ,3383
ቸ,3362
ዎ,3180
ጻ,2880
ፃ,2838
ቦ,2723
ቡ,2689
ጊ,2610
ሜ,2610
ፅ,2515
ኹ,2266
ሔ,2243
ኸ,2243
ጡ,2243
ዙ,2203
ኅ,2155
ፉ,2067
ኃ,2036
ዞ,2001
ፀ,1963
ሟ,1801
ጸ,1790
ሱ,1753
ኛ,1745
ሓ,1604
ሶ,1578
዗,1511
ፒ,1456
ሩ,1435
ዉ,1430
ሄ,1429
ኬ,1354
ዑ,1345
ኳ,1341
ሐ,1325
ዮ,1212
ዢ,1186
ኑ,1127
፡,1098
ጹ,977
ዐ,964
ጓ,958
ቬ,939
ጄ,936
ሏ,922
፥,879
ዊ,876
ኘ,866
ፔ,861
ጫ,836
ጂ,823
ቪ,759
ቕ,735
ጌ,718
ጢ,714
ጃ,663
ፓ,656
ቹ,654
ጦ,654
ቼ,649
ዶ,643
ቇ,625
ፐ,623
ሦ,620
ጾ,584
ሑ,579
ቚ,573
ፎ,565
ጁ,556
ዬ,519
፩,518
ቲ,504
ኀ,502
ኵ,489
ቌ,484
቗,469
፪,459
ቒ,435
፮,430
ቓ,427
ኼ,412
ጐ,411
ቍ,404
ቧ,398
፬,396
ኞ,393
ኗ,388
ፑ,369
ቨ,367
ቘ,365
ጇ,350
ሢ,337
቉,337
ኟ,336
፫,334
ዏ,328
ዌ,322
዇,320
፱,318
፯,302
፭,297
፻,294
ሺ,293
ኣ,289
ፁ,283
ቫ,269
ዖ,265
ቄ,260
ሷ,251
ኰ,250
ዔ,248
ሗ,244
፰,239
ኴ,236
ሾ,229
ኡ,225
ኯ,211
ቺ,205
ዧ,204
ኁ,199
ጳ,198
ጕ,193
ቖ,189
ሒ,178
።,176
፲,175
ቊ,173
ዒ,172
ኈ,170
ዪ,162
ጼ,161
ቩ,159
ጮ,157
ሿ,152
ዀ,145
ኻ,143
ቔ,132
ሤ,132
቎,130
ጩ,124
ቜ,123
ኽ,122
቏,121
ጏ,118
ኜ,116
ፆ,110
ዺ,110
ኲ,104
ኌ,102
ሹ,94
ዟ,92
ቈ,91
ኙ,91
ቾ,86
ቿ,86
኶,86
፣,81
ቑ,81
቟,71
ቷ,70
፳,70
ፏ,61
ጴ,61
኿,60
ሯ,53
፤,53
ቭ,52
ኧ,49
቙,45
ዦ,45
ዂ,45
ዾ,37
ዅ,37
ጲ,37
ዠ,37
ሖ,37
ዄ,36
኎,36
቞,34
ኂ,34
ቮ,33
ኍ,33
ዷ,33
ቛ,32
ቐ,30
኏,30
ኊ,30
ጵ,29
፴,29
ዽ,28
ጺ,28
ኚ,27
ጧ,26
ሼ,26
ሧ,25
፵,24
ፄ,24
ዸ,22
፷,22
፹,20
኷,19
ዤ,19
ዡ,18
ሡ,18
ዼ,17
ጒ,16
ኺ,16
ዿ,12
ጯ,12
ጰ,11
ቝ,11
኱,10
ዃ,10
ኄ,10
ኆ,9
ዹ,8
ጬ,6
዆,5
ዻ,5
ዣ,4
኉,4
ጶ,4
዁,3
፼,2
፶,2
፸,2
