Character,Count
መሆኑ,46465
ል፡፡,25242
እንዲ,25239
ሌ፡፡,24421
እንዱ,22040
እግዚ,21588
የሚያ,20648
ውስጥ,18908
መንግ,18554
ቸውን,16357
ዮጵያ,16220
ትዮጵ,16074
መሰረ,15673
ቤቶች,15665
ኢትዮ,15617
ሂሳብ,15541
ሚኒስ,15304
ሆኑን,14916
በጀት,14504
እንደ,14436
መሪያ,14298
ኒስቴ,14077
ስቴር,13916
በተመ,13720
ሰረት,13508
ይገባ,13127
አስተ,12969
ብሔር,12786
መረጃ,12713
ታቸው,12646
ባቸው,12571
ግዚአ,12082
ዚአብ,12062
ተግባ,11948
አብሔ,11927
ንብረ,11712
መለከ,11682
መመሪ,11580
ኦዱት,11577
የሚገ,11523
ግብር,11450
ረጋገ,11297
መሇከ,11038
ቁጥር,11022
ወይም,10907
ሁኔታ,10770
ዎችን,10647
ብረት,10559
ፖርት,10549
ርዓት,10516
ያዎች,10381
ኒቨር,10165
ዩኒቨ,10120
ንግስ,9895
በመሆ,9787
ሚያስ,9712
ከናወ,9593
አገሌ,9547
ሌግል,9521
ገሌግ,9497
ሪዎች,9487
እንዯ,9471
መሠረ,9451
ናቸው,9421
ንግሥ,9361
ገንዘ,9343
የተሰ,9244
ሮጀክ,9200
ግንባ,9148
ንባታ,9033
ግስት,9011
ሪፖር,8917
ወቅት,8897
ሲሆን,8761
ግባራ,8684
ዓመት,8618
ልግሎ,8608
ገልግ,8593
ማረጋ,8574
ክትት,8391
ምህር,8325
የመን,8317
ማድረ,8306
ድርጅ,8264
ጋገጥ,8245
ሥርዓ,8193
ላቸው,8166
የሥራ,8158
ትምህ,8124
ንዘብ,8111
ለከተ,7994
ሇከተ,7977
ምክን,7905
ክንያ,7884
ባራዊ,7878
ግልት,7851
አገል,7753
ክፍያ,7751
ተጨማ,7731
ጨማሪ,7725
ተመለ,7721
ኤጀን,7613
ግሥት,7597
ህርት,7573
ጀንሲ,7563
ው፡፡,7458
ሠረት,7391
ፕሮጀ,7368
ሆኑ፣,7367
የማይ,7356
ያሌተ,7327
ልማት,7306
ርጅቶ,7290
ሊቸው,7255
ማህበ,7108
ተመሇ,7056
ማዴረ,6986
ዴርጅ,6877
ዯረግ,6799
ጅቶች,6793
ነው፡,6683
ይነት,6677
ድረግ,6634
የተከ,6627
ግሎት,6620
ንያት,6609
ቶችን,6502
ተኞች,6455
ቃዎች,6436
ቀረበ,6414
ማስረ,6391
መንገ,6371
ደረጃ,6325
ገባል,6312
ማስተ,6286
የተገ,6126
የተመ,6120
ቢሆን,6110
ርካሪ,6097
ከርካ,6086
ጃዎች,6058
ተሰጠ,6028
ያስች,5981
ዱሁም,5981
ርሲቲ,5966
ቨርሲ,5966
ንዱሁ,5965
ዘጋጀ,5964
ሆንም,5948
ቁጥጥ,5846
ሰጠው,5844
ባል፡,5820
ረጃዎ,5785
ጥጥር,5776
የሚሰ,5754
ራቸው,5753
ስረጃ,5749
ንዲሁ,5710
ገባሌ,5708
እስከ,5706
ማሻሻ,5688
የስራ,5674
ደረግ,5621
መስጠ,5604
ተገቢ,5595
ዯረገ,5578
ዴረግ,5573
ካባቢ,5554
ሚገባ,5495
ርስቲ,5495
ደረገ,5491
የእግ,5475
የኢት,5466
ዲሁም,5461
ራተኞ,5447
ርምጃ,5433
ሠራተ,5417
ይህን,5404
ራዎች,5342
ባሌ፡,5330
ንደሚ,5323
ኦዲት,5298
እርም,5230
ሰበሰ,5210
ሚገኙ,5205
መኖሩ,5202
ሌማት,5185
ጥናት,5149
በተጨ,5112
እየተ,5095
ሪያዎ,5068
በዚህ,5055
ስጠት,5016
አሇመ,4970
ያደር,4964
ከተማ,4959
ስርዓ,4935
ተቋማ,4928
አግባ,4928
ስተዲ,4910
ም፡፡,4882
ትክክ,4875
ወቅቱ,4871
አጠቃ,4843
ታዎች,4837
የሚመ,4813
ልጣን,4812
እንዳ,4789
ትትሌ,4776
ተዯረ,4729
ስተዳ,4696
ነበረ,4694
ሻሻያ,4664
ተዲዯ,4649
ኦዱቱ,4619
ሆኑ፤,4618
ነገር,4607
ገቢው,4603
አካባ,4596
ከፍተ,4594
መጠን,4589
ዋል፡,4582
የሂሳ,4573
ብርና,4570
ሌጣን,4565
